Treatment,Locus,Number of alleles,Number of effective alleles,Shannons information,Heterozygosity-obs,Heterozygosity,uHe,Gen,Pop-size,,,,,,,,,,,,,,,,,,,,,,,,
BaseG0,AC1,4,2.637,1.112,0.52,0.621,0.633,0,320,,,,,,,,,,,,,,,,,,,,,,,,
BaseG0,AC2,5,2.735,1.19,0.32,0.634,0.647,0,320,,,,,,,,,,,,,,,,,,,,,,,,
BaseG0,AC3,4,1.877,0.867,0.52,0.467,0.477,0,320,,,,,,,,,,,,,,,,,,,,,,,,
BaseG0,AC4,9,6.098,1.948,0.28,0.836,0.853,0,320,,,,,,,,,,,,,,,,,,,,,,,,
BaseG0,AC7,7,2.894,1.296,0.6,0.654,0.668,0,320,,,,,,,,,,,,,,,,,,,,,,,, 
BaseG0,AC8,3,1.857,0.717,0.52,0.462,0.471,0,320,,,,,,,,,,,,,,,,,,,,,,,,
BaseG0,AC9,7,3.776,1.555,0.4,0.735,0.75,0,320,,,,,,,,,,,,,,,,,,,,,,,,
BaseG0,AC12,3,1.576,0.671,0.28,0.366,0.373,0,320,,,,,,,,,,,,,,,,,,,,,,,,
Base1,AC1,6,3.034,1.349,0.48,0.67,0.684,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base1,AC2,4,1.519,0.68,0.28,0.342,0.349,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base1,AC3,3,1.274,0.421,0.08,0.215,0.22,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base1,AC4,5,2.577,1.223,0.28,0.612,0.624,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base1,AC7,6,3.943,1.575,0.84,0.746,0.762,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base1,AC8,5,3.655,1.413,0.44,0.726,0.741,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base1,AC9,6,4.401,1.607,0.56,0.773,0.789,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base1,AC12,5,2.451,1.185,0.6,0.592,0.604,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base2,AC1,4,2.723,1.178,0.24,0.633,0.646,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base2,AC2,4,2.408,1.03,0.52,0.585,0.597,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base2,AC3,5,1.669,0.822,0.2,0.401,0.409,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base2,AC4,5,3.541,1.424,0.4,0.718,0.732,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base2,AC7,4,2.747,1.142,0.44,0.636,0.649,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base2,AC8,4,2.572,1.088,0.52,0.611,0.624,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base2,AC9,5,3.765,1.437,0.32,0.734,0.749,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base2,AC12,3,1.557,0.631,0.2,0.358,0.365,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base3,AC1,4,2.212,1.01,0.52,0.548,0.559,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base3,AC2,4,1.885,0.889,0.44,0.47,0.479,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base3,AC3,4,2.341,1.05,0.2,0.573,0.584,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base3,AC4,6,2.706,1.308,0.28,0.63,0.643,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base3,AC7,6,4.112,1.526,0.48,0.757,0.772,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base3,AC8,4,2.285,1.002,0.36,0.562,0.574,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base3,AC9,7,5.252,1.798,0.64,0.81,0.826,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base3,AC12,2,2,0.693,0.12,0.5,0.51,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base4,AC1,4,2.399,1.038,0.16,0.583,0.595,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base4,AC2,4,1.501,0.628,0.28,0.334,0.34,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base4,AC3,3,1.649,0.717,0.32,0.394,0.402,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base4,AC4,9,4.771,1.835,0.24,0.79,0.807,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base4,AC7,5,3.592,1.371,0.64,0.722,0.736,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base4,AC8,5,2.593,1.107,0.2,0.614,0.627,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base4,AC9,5,2.682,1.253,0.48,0.627,0.64,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Base4,AC12,2,1.891,0.664,0.12,0.471,0.481,35,320,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse1,AC1,2,1.471,0.5,0.24,0.32,0.327,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse1,AC2,1,1,0,0,0,0,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse1,AC3,3,2.08,0.86,0.44,0.519,0.53,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse1,AC4,5,3.056,1.267,0.2,0.673,0.687,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse1,AC7,5,2.969,1.286,0.72,0.663,0.677,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse1,AC8,4,3.333,1.27,0.56,0.7,0.714,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse1,AC9,5,2.22,1.048,0.4,0.55,0.561,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse1,AC12,2,1.22,0.325,0.12,0.18,0.184,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse2,AC1,3,1.705,0.665,0.16,0.414,0.422,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse2,AC2,1,1,0,0,0,0,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse2,AC3,3,1.568,0.656,0.32,0.362,0.37,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse2,AC4,6,3.521,1.43,0.16,0.716,0.731,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse2,AC7,5,2.144,1.028,0.52,0.534,0.544,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse2,AC8,3,2.485,0.998,0.36,0.598,0.61,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse2,AC9,5,2.244,1.134,0.32,0.554,0.566,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse2,AC12,2,1.317,0.405,0.28,0.241,0.246,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse3,AC1,1,1,0,0,0,0,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse3,AC2,3,2.49,0.977,0.32,0.598,0.611,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse3,AC3,3,1.63,0.686,0.4,0.386,0.394,35,60,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse3,AC4,6,4.098,1.556,0.4,0.756,0.771,35,60,,,,,,,,,,,,,,,,,,,,,,,,
